address,label,status,n_tx,n_sent,n_received,sent_ratio,n_counterparties,n_out_counterparties,n_in_counterparties,counterparty_ratio,repeat_counterparty_ratio,total_eth_sent,total_eth_received,mean_eth_sent,max_eth_sent,mean_eth_received,max_eth_received,net_eth_flow,value_concentration,zero_value_ratio,mean_gas_price_gwei,max_gas_price_gwei,std_gas_price_gwei,mean_gas_limit,failed_ratio,self_tx_ratio,first_block,last_block,lifetime_days,tx_per_active_day,mean_days_between_tx,min_days_between_tx,burstiness,degree,in_degree,out_degree,pagerank,clustering,community_size,neighbour_risk_ratio,n_labelled_neighbours
0x0387cfc283ffcf25a4a6a61e832545bbeb7c8fda,1,ok,6,4.0,2.0,0.6666666666666666,6.0,4.0,2.0,1.0,0.0,3.775976,3.779,0.943994,2.04857597,1.8895,3.4,0.0030239999999999,0.5425288640605767,0.0,40.96666666666667,60.0,9.35978394812378,60916.666666666664,0.0,0.0,4738641,4766771,4.821398611573709,1.2444521773406314,0.964279722314742,0.3882685472209145,1.0637468373561365,6.0,2.0,4.0,3.447684386883675e-05,0.0,7.0,0.0,0.0
0x0b00010919f2add219057db7b9b0e2a134c196c8,0,ok,5,3.0,2.0,0.6,5.0,3.0,2.0,1.0,0.0,2000.998677,2001.0,666.999559,1468.2850720797371,1000.5,1378.5942673481982,0.0013229999999566,0.7337761333660978,0.0,21.0,21.0,0.0,34800.0,0.0,0.0,4154638,4154654,0.0038524059261436,5.0,0.0009631014815359,0.0,0.8838834772682591,5.0,2.0,3.0,2.899178002909622e-05,0.0,9.0,0.0,0.0
0x87508cd49185705848fb6a7da0b3aafaa0073f8a,0,ok,23,14.0,9.0,0.6086956521739131,13.0,6.0,7.0,0.5652173913043478,0.4347826086956521,16.128598387,16.19029454,1.1520427419285717,5.5998613575,1.7989216155555556,3.05458768,0.0616961529999997,0.3472007438670932,0.3478260869565217,33.70423804686957,60.4,17.35469949691122,81840.26086956522,0.0,0.0,3967825,8420793,783.0906425618049,0.0293708017308925,35.59502920735477,0.0003852343504075,2.644727159972277,13.0,7.0,6.0,5.8333432687728195e-05,0.0128205128205128,740.0,0.0,0.0
0xcee9ee01d48050415f1b104277bd493c5dbe645e,1,ok,7,0.0,6.0,0.0,4.0,0.0,4.0,0.5714285714285714,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.428571428571429,6.0,1.0497813183356477,377444.1428571429,0.0,0.0,5207045,5822645,105.79715444051006,0.066164350421505,17.63285907341834,0.0020307644456624,1.858667603995478,4.0,4.0,0.0,1.320133630883191e-05,0.0,165.0,0.0,0.0
0xd84af8766bd29b988f3426cc48cac5a6646f1f90,1,ok,6,0.0,5.0,0.0,4.0,0.0,4.0,0.6666666666666666,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,11.0,2.9860788111948193,398727.5,0.0,0.0,5130610,5929799,137.12815406560347,0.0437546909377161,27.425630813120694,1.15787419407456,1.4534545689787128,4.0,4.0,0.0,2.385254551239502e-05,0.0,165.0,0.0,0.0
0x82b8edd1885d3bc6a71a3e6e17ea80b1111bec56,0,ok,4,2.0,2.0,0.5,3.0,2.0,1.0,0.75,0.25,0.47716,0.478,0.23858,0.29858,0.239,0.299,0.0008399999999999,0.625743985246039,0.0,20.0,20.0,0.0,55500.0,0.0,0.0,3304183,3304400,0.0363189484261804,4.0,0.0121063161420601,0.0023431579630683,1.034826462405363,3.0,1.0,2.0,4.990188259339333e-05,0.0,54.0,0.0,1.0
0xfcdd417b449c982fc9b6d7b117e417682e81b627,1,ok,2,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.0,0.49874,0.5,0.49874,0.49874,0.5,0.5,0.0012599999999999,1.0,0.0,35.0,60.0,25.0,21000.0,0.0,0.0,4715213,4742056,4.4527690347228885,0.4491587109962165,4.4527690347228885,4.4527690347228885,0.0,2.0,1.0,1.0,2.3506716189355696e-05,0.0,3.0,0.0,0.0
0x89fdb595cc181a582a80420fcfea55f20ab7b688,0,ok,5,3.0,2.0,0.6,4.0,2.0,2.0,0.8,0.2,1.65,1.6567778207995203,0.5499999999999999,1.65,0.8283889103997603,1.5967778207995205,0.0067778207995206,1.0,0.4,27.2625,60.0,19.133337643364783,38280.0,0.0,0.0,6628295,7768860,194.8193130060175,0.0256648066500756,48.704828251504374,0.0026194088878454,0.9422863671473042,4.0,2.0,2.0,3.447684386883675e-05,0.0,559.0,0.0,0.0
0xa6b60dd3be491aafe5aba8622b35c0ead608d3fd,1,ok,2,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.0,0.499559,0.5,0.499559,0.499559,0.5,0.5,0.000441,1.0,0.0,20.5,21.0,0.5,21000.0,0.0,0.0,4472253,4668731,34.56580963638922,0.0578606438280703,34.56580963638922,34.56580963638922,0.0,2.0,1.0,1.0,2.3506716189355696e-05,0.0,7.0,0.0,0.0
0xce686d019e6f692af646a8df3bfe789da97a484f,1,ok,9,7.0,2.0,0.7777777777777778,9.0,7.0,2.0,1.0,0.0,3.2800766699999997,3.2874,0.4685823814285714,0.62487667,1.6437,3.0,0.0073233300000001,0.1905067267833102,0.0,40.77777777777778,59.0,8.966329334147561,71666.66666666667,0.0,0.0,4947084,5010256,11.002933148890731,0.817963708241501,1.3753666436113416,0.0010153822242109,2.205170007781231,9.0,2.0,7.0,3.447684386883675e-05,0.0,10.0,0.0,0.0
0x1d82886f997d0b124dfab342558bc463299c8a6b,1,ok,8,0.0,7.0,0.0,4.0,0.0,4.0,0.5,0.4285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.5,8.0,2.1213203435596424,359590.625,0.0,0.0,5128325,5833732,121.022351992409,0.0661034913658081,17.288907427486997,0.0006867079629942,1.7723954199512837,4.0,4.0,0.0,1.3276474169650274e-05,0.0,165.0,0.0,0.0
0x04c3ec4ed06676130e476abbbf1e2057ed2fe6af,0,ok,5,3.0,2.0,0.6,2.0,2.0,1.0,0.4,0.6,0.00315105,0.00456828,0.00105035,0.00315105,0.00228414,0.0039,0.00141723,1.0,0.4,24.75,30.0,10.5,72200.0,0.0,0.0,5245352,7622881,406.30470881842626,0.0123060350802738,101.57617720460658,0.0011846125926132,1.731395816752215,2.0,1.0,2.0,1.4807829472449613e-05,0.0,182.0,0.0,0.0
0x8ecf10247f1adbddd4c693e614a4fdca88c6275a,0,ok,58,40.0,18.0,0.6896551724137931,38.0,26.0,12.0,0.6551724137931034,0.3448275862068966,2.0137482000935023,2.0799292931105473,0.0503437050023375,0.47959919,0.1155516273950304,0.5168631,0.066181093017045,0.2381624425425836,0.4310344827586206,51.81887915284483,322.5,65.81489421844256,59518.24137931035,0.0,0.0,3691998,22033960,2861.3878431803705,0.0202698841187269,50.19978672246264,0.0001395705535455,3.700726505981839,38.0,12.0,26.0,8.503739476134458e-05,0.0128022759601706,1143.0,0.0,0.0
